scenario_id,event_id,track_id,event_type,object_type,observed_at_seconds,confidence,evidence_image
S03_DENSE_CROSSING,evt-0001,1,A_TO_B,package,13.280,0.78,evidence/evt-0001_b13b86f4.jpg
S03_DENSE_CROSSING,evt-0002,3,B_TO_A,package,14.520,0.78,evidence/evt-0002_2902fac1.jpg
S03_DENSE_CROSSING,evt-0003,4,B_TO_A,package,15.360,0.78,evidence/evt-0003_86533f2c.jpg
S03_DENSE_CROSSING,evt-0004,6,A_TO_B,package,19.040,0.79,evidence/evt-0004_2727b836.jpg
S03_DENSE_CROSSING,evt-0001,1,A_TO_B,package,13.280,0.78,evidence/evt-0001_ce41ab05.jpg
S03_DENSE_CROSSING,evt-0002,2,A_TO_B,package,14.000,0.78,evidence/evt-0002_0ec186b0.jpg
S03_DENSE_CROSSING,evt-0003,3,B_TO_A,package,14.520,0.78,evidence/evt-0003_5e9bbb2b.jpg
S03_DENSE_CROSSING,evt-0004,4,B_TO_A,package,15.360,0.78,evidence/evt-0004_be33f6ea.jpg
S03_DENSE_CROSSING,evt-0005,6,A_TO_B,package,19.040,0.79,evidence/evt-0005_95fe1a1d.jpg
S03_DENSE_CROSSING,evt-0001,1,A_TO_B,package,13.280,0.78,evidence/evt-0001_12592379.jpg
S03_DENSE_CROSSING,evt-0002,2,A_TO_B,package,14.000,0.78,evidence/evt-0002_0e2e5a39.jpg
S03_DENSE_CROSSING,evt-0003,3,B_TO_A,package,14.520,0.78,evidence/evt-0003_cbb365a9.jpg
S03_DENSE_CROSSING,evt-0004,4,B_TO_A,package,15.360,0.78,evidence/evt-0004_b0e1b62a.jpg
S03_DENSE_CROSSING,evt-0005,6,A_TO_B,package,19.040,0.79,evidence/evt-0005_9c004797.jpg
S03_DENSE_CROSSING,evt-0001,1,A_TO_B,package,13.280,0.78,evidence/evt-0001_86714b13.jpg
S03_DENSE_CROSSING,evt-0002,2,A_TO_B,package,14.000,0.78,evidence/evt-0002_7025433d.jpg
S03_DENSE_CROSSING,evt-0003,3,B_TO_A,package,14.520,0.78,evidence/evt-0003_6f55281a.jpg
