scenario_id,event_id,track_id,event_type,object_type,observed_at_seconds,confidence,evidence_image
S04_DWELL_QUEUE,evt-0001,1,DWELL_THRESHOLD,package,11.240,0.78,evidence/evt-0001_802076a5.jpg
S04_DWELL_QUEUE,evt-0002,2,DWELL_THRESHOLD,package,12.760,0.78,evidence/evt-0002_d244a5e6.jpg
S04_DWELL_QUEUE,evt-0003,3,DWELL_THRESHOLD,package,15.200,0.78,evidence/evt-0003_c51252d3.jpg
S04_DWELL_QUEUE,evt-0004,1,A_TO_B,package,18.160,0.78,evidence/evt-0004_9132f943.jpg
S04_DWELL_QUEUE,evt-0005,2,A_TO_B,package,21.280,0.78,evidence/evt-0005_1c897df7.jpg
S04_DWELL_QUEUE,evt-0006,3,A_TO_B,package,24.360,0.78,evidence/evt-0006_fcf7c744.jpg
S04_DWELL_QUEUE,evt-0001,1,DWELL_THRESHOLD,package,11.240,0.78,evidence/evt-0001_9aac8fde.jpg
S04_DWELL_QUEUE,evt-0002,2,DWELL_THRESHOLD,package,12.760,0.78,evidence/evt-0002_90145e7e.jpg
S04_DWELL_QUEUE,evt-0003,3,DWELL_THRESHOLD,package,15.200,0.78,evidence/evt-0003_7bf602e5.jpg
S04_DWELL_QUEUE,evt-0004,1,A_TO_B,package,18.160,0.78,evidence/evt-0004_95ea4a39.jpg
S04_DWELL_QUEUE,evt-0005,2,A_TO_B,package,21.280,0.78,evidence/evt-0005_6754b222.jpg
S04_DWELL_QUEUE,evt-0006,3,A_TO_B,package,24.360,0.78,evidence/evt-0006_a32600d1.jpg
S04_DWELL_QUEUE,evt-0001,1,DWELL_THRESHOLD,package,11.240,0.78,evidence/evt-0001_8ba974bd.jpg
S04_DWELL_QUEUE,evt-0002,2,DWELL_THRESHOLD,package,12.760,0.78,evidence/evt-0002_42069d41.jpg
S04_DWELL_QUEUE,evt-0003,3,DWELL_THRESHOLD,package,15.200,0.78,evidence/evt-0003_d67187a9.jpg
S04_DWELL_QUEUE,evt-0004,1,A_TO_B,package,18.160,0.78,evidence/evt-0004_8cf6ff25.jpg
S04_DWELL_QUEUE,evt-0005,2,A_TO_B,package,21.280,0.78,evidence/evt-0005_aaa0afef.jpg
