scenario_id,event_id,track_id,event_type,object_type,observed_at_seconds,confidence,evidence_image
S01_BASIC_GOODS,evt-0001,1,A_TO_B,package,8.360,0.78,evidence/evt-0001_5421758d.jpg
S01_BASIC_GOODS,evt-0002,2,A_TO_B,package,10.680,0.79,evidence/evt-0002_253cad8a.jpg
S01_BASIC_GOODS,evt-0003,5,B_TO_A,package,15.080,0.78,evidence/evt-0003_4745ab81.jpg
S02_OCCLUSION_REVERSAL,evt-0001,1,A_TO_B,package,12.440,0.78,evidence/evt-0001_e4c6430a.jpg
S02_OCCLUSION_REVERSAL,evt-0002,2,B_TO_A,package,18.440,0.78,evidence/evt-0002_c3948f83.jpg
S02_OCCLUSION_REVERSAL,evt-0003,3,A_TO_B,package,20.200,0.79,evidence/evt-0003_ee6fddca.jpg
S03_DENSE_CROSSING,evt-0001,1,A_TO_B,package,13.280,0.78,evidence/evt-0001_e8c4f69e.jpg
S03_DENSE_CROSSING,evt-0002,2,A_TO_B,package,14.000,0.78,evidence/evt-0002_63ee65cf.jpg
S03_DENSE_CROSSING,evt-0003,3,B_TO_A,package,14.520,0.78,evidence/evt-0003_f67bf140.jpg
S03_DENSE_CROSSING,evt-0004,4,B_TO_A,package,15.360,0.78,evidence/evt-0004_186d863b.jpg
S03_DENSE_CROSSING,evt-0005,6,A_TO_B,package,19.040,0.79,evidence/evt-0005_79f43816.jpg
S04_DWELL_QUEUE,evt-0004,1,A_TO_B,package,18.160,0.78,evidence/evt-0004_d6e2fd83.jpg
S04_DWELL_QUEUE,evt-0005,2,A_TO_B,package,21.280,0.78,evidence/evt-0005_0857fe36.jpg
S04_DWELL_QUEUE,evt-0006,3,A_TO_B,package,24.360,0.78,evidence/evt-0006_c724563e.jpg
